PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
292470472,22159449,6,2022-10-01T20:17:00,"5200 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,804,7,2,-79.9413451958523,40.4575346147175
292470501,22159457,11,2022-10-01T21:00:00,"100 Block Linnview Ave Pittsburgh, PA 15210",N,Carrick,3,THEFT BY DECEPTION,3922 Theft by Deception.,2902,4,3,-79.9888666441992,40.4032430265371
292478021,22159619,27,2022-10-02T02:57:00,"Webster Ave & Wandless St Pittsburgh, PA 15219",N,Middle Hill,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,501,6,3,-79.9673002432103,40.4518427418008
292505880,22159982,99,2022-10-02T17:01:00,"2000 Block Walton Ave Pittsburgh, PA 15210",N,Overbrook,3,MENTAL 201/302,9498 302 (Mental),3204,4,5,-79.9944846494585,40.3931971622161
292506406,22159994,6,2022-10-02T19:00:00,"1900 Block Perrysville Ave Pittsburgh, PA 15212",N,Perry South,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2614,,,,
293739971,22168433,3,2022-10-17T23:02:00,"Watson St & Van Braam St Pittsburgh, PA 15219",N,Bluff,2,ROBBERY,3701 Robbery. / 2701 Simple Assault. / 2706 Terroristic Threats. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,103,6,3,-79.9826390311356,40.4380109911931
293740627,22168468,99,2022-10-18T00:13:00,"I-376 Ramp & Grant St Pittsburgh, PA 15219",N,Central Business District,2,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,201,,,,
293744580,22168525,13,2022-10-18T04:44:00,"100 Block Royal Oak Dr White Oak, PA 15131",Y,Outside City,OSC,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 13(a)(16) Possession of Controlled Substance / 9094 Recovered Stolen Vehicle (OUTSIDE CITY),5599,,,-80.1015355897744,40.5710457159762
293759204,22167498,6,2022-10-16T09:30:00,"400 Block N Neville St Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,507,8,3,-79.9495415436811,40.4514087005926
-3545169995,22168623,10,2022-10-18T09:50:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,HARRASSMENT,2709(a) Harassment.,2902,4,3,-79.9865235535491,40.3931998334253
293774156,22168655,27,2022-10-16T16:35:00,"4600 Block Plummer St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,901,7,2,-79.9600054374998,40.4738178411104
293779644,22168631,4,2022-10-18T10:00:00,"7200 Block Bennett St Pittsburgh, PA 15208",Y,Homewood South,5,AGG-ASSAULT,2702 Aggravated Assault.,1303,9,2,-79.8966319961519,40.4564560852674
-3574000846,22168698,6,2022-10-18T13:30:00,"1600 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,305,,,,
293802841,22168755,27,2022-10-18T12:45:00,"10 Block Welsford St Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,406,3,3,-79.9552617416768,40.4351738666563
293802897,22166184,11,2022-10-13T20:47:00,"3000 Block Zephyr Ave Pittsburgh, PA 15204",N,Sheraden,6,CREDIT CARDS,4106 Access Device Fraud,2018,2,5,-80.0534504413852,40.4563216705103
291881269,22155889,11,2022-09-25T16:30:00,"1400 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,CREDIT CARDS,4106 Access Device Fraud,1702,3,3,-79.984034293315,40.4286565603557
292128565,22157176,99,2022-09-27T22:08:00,"1800 Block Whited St Pittsburgh, PA 15210",N,Brookline,6,MENTAL 201/302,9498 302 (Mental),3206,4,5,-79.9991018099759,40.3958143256269
292494022,22159762,27,2022-10-01T14:15:00,"1800 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1702,3,3,-79.9802691087542,40.4284868409739
292728686,22161167,0,2022-10-04T15:00:00,"1000 Block Benton Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): ,2708,1,1,-80.0338790644292,40.4880682948161
292698664,22160973,11,2022-09-30T19:17:00,"1700 Block Waterfront Pl Pittsburgh, PA 15222",N,Strip District,2,CREDIT CARDS,4106 Access Device Fraud,203,7,6,-79.9891052672608,40.4501416007741
292718509,22161101,6,2022-10-04T18:30:00,"2700 Block Cobden St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle,1608,3,3,-79.9696841274881,40.4197854397674
-3537076733,22161109,27,2022-10-04T19:30:00,"Beechwood Blvd & Federal Hill St Pittsburgh, PA 15217",N,Greenfield,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1517,5,3,-79.927524586027,40.421030812981
292734977,22161201,0,2022-10-04T22:33:00,"1200 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,9998 Overdose Other,2902,4,3,-79.9901999851368,40.4040717030521
-3594055300,22161224,10,2022-10-04T23:15:00,"1300 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,2709(a) Harassment.,1702,3,3,-79.9851784256069,40.4286149368858
292735563,22161234,0,2022-10-04T22:53:00,"1200 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,9998 Overdose Other,2902,4,3,-79.9901999851368,40.4040717030521
292737607,22161267,99,2022-10-05T01:50:00,"600 Block William Penn Pl Pittsburgh, PA 15219",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,201,6,6,-79.9967621340552,40.4411412816935
294130348,22170367,0,2022-10-21T14:42:00,"Madison Ave & Vista St Pittsburgh, PA 15212",N,East Allegheny,1,99,8106 Shots Fired,2304,1,1,-79.9981477310768,40.4581781191455
294140339,22170480,24,2022-10-21T18:02:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,DISORDERLY CONDUCT,5503 Disorderly Conduct.,1115,8,2,-79.92259331497,40.4601393368172
294151716,22170609,0,2022-10-21T22:58:00,"300 Block Ladson St Pittsburgh, PA 15206",N,Larimer,5,99,9999 9999 - (Misc. Incident): ,1204,,,,
-3573013050,22170696,14,2022-10-22T01:55:00,"200 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,708,8,2,-79.9252961319403,40.4587558589122
291873291,22155722,6,2022-09-25T09:38:00,"2100 Block Centre Ave Pittsburgh, PA 15219",Y,Middle Hill,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,501,6,3,-79.9788764417094,40.4443711190007
291874890,22155809,6,2022-09-25T12:21:00,"20 Block Market Sq Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,201,6,6,-80.0020026636299,40.4409453621515
291876489,22155832,27,2022-09-24T17:00:00,"Cherry Way & 5th Blvd Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.9977213307813,40.4397484979273
292207403,22157476,99,2022-09-28T02:00:00,"800 Block Hale St Pittsburgh, PA 15221",N,Homewood South,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1304,,,,
292412977,22158024,99,2022-09-27T14:00:00,"800 Block Proctor Way Pittsburgh, PA 15210",N,Allentown,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1803,3,5,-79.993672636091,40.4204001691737
292523977,22160054,99,2022-10-02T17:00:00,"5400 Block Hampton St Pittsburgh, PA 15206",N,Morningside,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1014,7,2,-79.929478899372,40.4770234266899
292610916,22160500,99,2022-10-03T16:05:00,"6800 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood West,5,FOUND PROPERTY,9489 Found Property,1207,9,2,-79.9059851373518,40.4581223295946
292612918,22160531,27,2022-10-03T17:51:00,"Marion St & Blvd Of The Allies Pittsburgh, PA 15219",N,Bluff,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,103,6,3,-79.9844204145959,40.4354157580358
-3529267777,22159464,6,2022-10-01T20:00:00,"7600 Block Penn Ave Pittsburgh, PA 15221",N,Point Breeze North,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1405,9,3,-79.8951355743265,40.4471228791488
292471526,22159458,10,2022-10-01T20:35:00,"2200 Block Bentley Dr Pittsburgh, PA 15213",Y,Terrace Village,2,HARRASSMENT,2709(a) Harassment.,510,6,3,-79.9702626109055,40.440110328791
292472040,22159486,10,2022-10-01T21:50:00,"2700 Block Centre Ave Pittsburgh, PA 15219",N,Terrace Village,2,HARRASSMENT,2709(a) Harassment.,510,6,3,-79.9670278555567,40.4471425289927
292498152,22159855,10,2022-10-02T14:35:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,201,6,6,-79.9960409452176,40.4350395659105
292505006,22159940,10,2022-10-02T18:05:00,"400 Block Bailey Ave Pittsburgh, PA 15211",N,Mount Washington,3,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1807,3,5,-79.9998207026968,40.4266947312432
292514046,22160013,0,2022-10-02T20:02:00,"Marshall Ave & Hawkins St Pittsburgh, PA 15214",N,Perry South,1,99,9999 9999 - (Misc. Incident): ,2615,6,1,-80.0155252499929,40.4723913501773
292515554,22160019,0,2022-10-02T20:23:00,"N Charles St & Melrose Ave Pittsburgh, PA 15212",Y,Perry South,1,99,1373 Suspension of Registration.,2614,6,1,-80.0186699795282,40.4623579854962
-3394320067,22169748,6,2022-10-17T20:00:00,"700 Block Johnston Ave Pittsburgh, PA 15207",N,Glen Hazel,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1504,5,3,-79.9337392354462,40.4056098631174
294170993,22170833,0,2022-10-22T10:00:00,"800 Block Highview St Pittsburgh, PA 15206",N,Morningside,5,99,9994 PFA Service,1014,,,,
294185230,22170918,27,2022-10-22T13:22:00,"7300 Block Butler St Pittsburgh, PA 15201",N,Morningside,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1014,7,2,-79.9215230566869,40.4881729111865
294186445,22170926,0,2022-10-22T13:46:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,99,9999 9999 - (Misc. Incident): ,1303,9,2,-79.9018146354302,40.4566120579776
291805752,22154728,0,2022-09-23T13:00:00,"1100 Block Marshall Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): ,2704,1,1,-80.0250508503889,40.4668837506012
291845897,22155301,10,2022-09-24T14:06:00,"800 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-79.9989191960258,40.4426863590683
292035653,22156351,99,2022-09-26T12:20:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,2108,6,1,-80.0219684615574,40.4512177173984
292223890,22157720,29,2022-09-28T19:35:00,"800 Block Memory Ln Pittsburgh, PA 15219",N,Bedford Dwellings,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,509,,,,
292412972,22158848,27,2022-09-30T17:00:00,"400 Block 4th Ave Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,7,2,-79.9520626773619,40.4667132444277
292902020,22162208,10,2022-10-04T19:45:00,"100 Block Minooka St Pittsburgh, PA 15210",Y,Carrick,3,HARRASSMENT,2709(a) Harassment.,2901,4,3,-79.9922828706383,40.4034948544979
292905791,22162277,0,2022-10-06T19:46:00,"400 Block Ariston Ave Pittsburgh, PA 15210",N,Carrick,3,99,9994 PFA Service,2904,4,3,-79.9898423947488,40.3874506880055
292944471,22162539,0,2022-10-07T10:29:00,"400 Block Ariston Ave Pittsburgh, PA 15210",Y,Carrick,3,99,9994 PFA Service,2904,4,3,-79.9898423947488,40.3874506880055
292956306,22162593,0,2022-10-07T12:14:00,"200 Block Fordyce St Pittsburgh, PA 15210",Y,Bon Air,3,99,9994 PFA Service,1806,4,5,-80.0005678878879,40.4097236839165
292960623,22162607,0,2022-10-07T12:20:00,"300 Block Suncrest St Pittsburgh, PA 15210",N,Knoxville,3,99,9999 9999 - (Misc. Incident): ,3001,3,5,-79.9932259423664,40.4105601414288
292966219,22162637,14,2022-10-07T13:20:00,"600 Block Lillian St Pittsburgh, PA 15210",N,Allentown,3,CRIM MISCHIEF,3304 Criminal Mischief.,1803,3,5,-79.9972664767714,40.4186756317573
292970716,22161157,99,2022-10-03T01:30:00,"200 Block Natchez St Pittsburgh, PA 15211",N,Mount Washington,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1914,,,,
292977609,22162802,99,2022-10-07T17:25:00,"Waterfront Dr & Overlook Ct Pittsburgh, PA 15222",N,Troy Hill,1,FOUND PROPERTY,9489 Found Property,2406,1,6,-79.9782389169408,40.463229354637
292978078,22162834,0,2022-10-07T19:30:00,"California Ave & Woodland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): Dispatch Deer,2715,1,1,-80.0341307422847,40.4667709809935
292985755,22163021,29,2022-10-08T01:42:00,"900 Block Woodlow St Pittsburgh, PA 15205",N,Crafton Heights,6,RUNAWAYS - JUVENILE,029 Missing Juvenile,2814,2,5,-80.0523506914023,40.4458191424858
292986309,22163070,27,2022-10-08T01:40:00,"E Carson St & S 10th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9885762778787,40.4287104703372
292533359,22160092,14,2022-10-02T23:54:00,"500 Block Cora St Pittsburgh, PA 15221",N,Homewood South,5,CRIM MISCHIEF,3304 Criminal Mischief.,1304,9,2,-79.887811539929,40.4503942725611
292534041,22160168,0,2022-10-03T03:40:00,"6800 Block Thomas St Pittsburgh, PA 15208",Y,Point Breeze North,4,99,9093 Indirect Criminal Contempt,1405,9,2,-79.9090233225992,40.453731756328
292569433,22158362,27,2022-09-29T22:00:00,"1100 Block Banksville Rd Pittsburgh, PA 15216",N,Banksville,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,2023,2,5,-80.0302713936274,40.4199183995027
292588541,22160360,6,2022-10-03T09:20:00,"400 Block Edgemont St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,1807,3,5,-80.0005935867897,40.4222565926704
292596951,22160355,0,2022-10-03T13:00:00,"100 Block Tecumseh St Pittsburgh, PA 15207",N,Hazelwood,4,99,9994 PFA Service,1515,,,,
292598635,22160390,6,2022-10-03T09:00:00,"500 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1113,8,2,-79.9249454802409,40.4530105952768
292600522,22160409,0,2022-10-03T13:30:00,"1000 Block Valonia St Pittsburgh, PA 15220",N,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,2,5,-80.0369370939574,40.446490062726
292611046,22160481,6,2022-09-28T00:01:00,"5600 Block Forward Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1414,5,3,-79.9269858254165,40.4275940212749
292625438,22160685,11,2022-09-30T03:34:00,"2300 Block Railroad St Pittsburgh, PA 15222",N,Central Business District,2,CREDIT CARDS,4106 Access Device Fraud,201,,,,
293845139,22168789,6,2022-10-18T15:33:00,"7000 Block Wiltsie St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1201,9,2,-79.8966600424423,40.4725465108224
293860228,22168965,99,2022-10-18T21:40:00,"Murray Ave & Morrowfield Ave Pittsburgh, PA 15217",Y,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1414,5,3,-79.9254765034465,40.4279614484466
293880635,22169106,27,2022-10-19T07:43:00,"10th St Byp Pittsburgh, PA 15222",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,,,,
293888256,22163362,10,2022-10-08T16:55:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Sheraden,2,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201,6,6,-79.9960409452176,40.4350395659105
293906900,22169162,27,2022-10-19T09:58:00,"Corday Way & Edmond St Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,809,7,2,-79.9479631597702,40.4616584678725
293908784,22169147,10,2022-10-19T09:35:00,"100 Block Addison St Pittsburgh, PA 15219",N,Middle Hill,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,501,,,,
293920769,22169222,6,2022-10-19T07:00:00,"1200 Block Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1702,3,3,-79.9861789756717,40.4294242084798
293935369,22169273,0,2022-10-19T14:32:00,"100 Block Travella Blvd Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,99,9994 PFA Service,1202,,,,
293962388,22169298,99,2022-10-19T15:35:00,"3200 Block Bainton St Pittsburgh, PA 15212",N,Brighton Heights,1,AIDED CASE,9497 Aided Case,2703,,,,
291755838,22154166,10,2022-09-22T16:02:00,"Wandless St & Webster Ave Pittsburgh, PA 15219",N,Middle Hill,2,SIMPLE ASSAULT,2701 Simple Assault.,501,6,3,-79.9673002432103,40.4518427418008
291757301,22154309,14,2022-09-22T19:40:00,"900 Block Memory Ln Pittsburgh, PA 15219",N,Bedford Dwellings,2,CRIM MISCHIEF,3304 Criminal Mischief.,509,6,3,-79.9809055382023,40.449061253082
291758385,22154310,0,2022-09-22T19:41:00,"5200 Block Centre Brg Pittsburgh, PA 15224",N,Shadyside,4,99,9999 9999 - (Misc. Incident): FORCED ENTRY,709,8,2,-79.9409226091318,40.4545232336817
291758793,22154277,27,2022-09-22T18:54:00,"5th Ave & Mc Pherson Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,1405,9,2,-79.9105402518052,40.4557705963418
291765788,22154457,26,2022-09-23T01:37:00,"Butler St & 53rd St Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,RETALIATION FOR PAST OFF ACTION,4703 Operation of Vehicle without Official Certif. of Inspection / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1786 Required Financial Responsibility.,1011,7,2,-79.9524876494233,40.4821407200016
291816118,22154744,18,2022-09-23T14:37:00,"3100 Block Banksville Rd Pittsburgh, PA 15216",N,Banksville,6,STOLEN PROPERTY,"13(a)(32) Paraphernalia - Use or Possession / 5126 Flight to Avoid Apprehension, Trial or Punishment.",2023,2,5,-80.0434542351477,40.4010772517516
291842564,22155282,27,2022-09-24T12:50:00,"4100 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.9556384552195,40.4125728978046
292764796,22161407,26,2022-10-06T08:00:00,"6900 Block Frankstown Ave Pittsburgh, PA 15208",Y,Homewood West,5,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,1207,,,,
292764868,22161406,0,2022-10-06T09:00:00,Zone 2,N,,2,99,9999 9999 - (Misc. Incident): Sexually Violent Predator (Community Notification),,,,,
292766592,22159200,26,2022-10-08T10:50:00,"6200 Block Sawyer St Pittsburgh, PA 15201",Y,Stanton Heights,5,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,1018,,,,
292766921,22161409,0,2022-10-08T07:05:00,Zone 2,N,,2,99,9999 9999 - (Misc. Incident): Sexually Violent Predator (Community Notification),,,,,
292773007,22161438,0,2022-10-05T11:01:00,"200 Block E North Ave Pittsburgh, PA 15212",N,Allegheny Center,1,99,9998 Overdose Other,2204,1,1,-80.0088814628293,40.4552322813828
292807589,22161584,6,2022-10-05T14:18:00,"40 Block 24th St Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,7,6,-79.982342283405,40.4553849099766
294177991,22170896,14,2022-10-22T09:00:00,"Somers St & Webster Ave Pittsburgh, PA 15219",N,Middle Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,501,6,3,-79.9751547692718,40.4485134549702
294185055,22170201,17,2022-10-19T13:57:00,Zone 5,N,,5,INDECENT ASSAULT,3126 Indecent Assault. / 6301 Corruption of Minors.,,,,,
294188416,22170969,10,2022-10-22T14:55:00,"Stevenson St & Watson St Pittsburgh, PA 15219",N,Bluff,2,SIMPLE ASSAULT,2701 Simple Assault.,103,6,3,-79.986498781769,40.4382040793296
294188807,22170954,99,2022-10-22T14:55:00,"70 Block Bigelow St Pittsburgh, PA 15207",Y,Hazelwood,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1501,5,3,-79.9486409039104,40.4233712224696
294191158,22170972,6,2022-10-22T15:33:00,"200 Block 7th St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-80.0002405531932,40.4432153404929
294193022,22171102,0,2022-10-22T19:48:00,"2300 Block Candace St Pittsburgh, PA 15216",N,Beechview,6,99,9994 PFA Service,1920,4,5,-80.0321500227608,40.4025398697942
294193312,22160473,10,2022-10-03T16:12:00,"700 Block Johnston Ave Pittsburgh, PA 15207",Y,Glen Hazel,4,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1504,5,3,-79.9337392354462,40.4056098631174
